time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-12-28T17:57:11.490Z,43.7175,-105.2874,0,3.3,ml,,51,0.99,0.37,us,us10004a49,2016-03-18T01:13:05.040Z,"Wyoming",mining explosion,4.5,2,0.055,44,reviewed,us,us
2015-12-23T21:11:01.980Z,43.7794,-105.2543,0,3.2,ml,,60,0.944,0.4,us,us10004955,2016-03-12T02:29:23.040Z,"Wyoming",mining explosion,3.2,2,0.057,48,reviewed,us,us
2015-12-23T20:01:47.920Z,44.3612,-105.4323,0,3.3,ml,,116,1.031,0.9,us,us10004b7p,2016-03-12T02:29:23.040Z,"Wyoming",mining explosion,3.4,2,0.053,46,reviewed,us,us
2015-12-22T21:01:49.510Z,43.8408,-105.3304,0,3,ml,,64,0.975,0.56,us,us100049aq,2016-03-12T02:29:22.040Z,"Wyoming",mining explosion,4.5,2,0.062,42,reviewed,us,us
2015-12-17T21:32:28.140Z,43.5442,-105.8762,0,3.7,ml,,31,1.011,0.95,us,us1000480t,2016-03-12T02:29:15.040Z,"Wyoming",mining explosion,5,2,0.042,76,reviewed,us,us
2015-12-08T21:02:57.400Z,43.7637,-105.3011,0,3.3,ml,,51,0.981,0.5,us,us20004fn7,2016-03-02T03:36:39.040Z,"Wyoming",mining explosion,4.9,2,0.05,62,reviewed,us,us
2015-12-08T19:10:56.680Z,43.7298,-105.2896,0,3.4,ml,,38,0.986,0.97,us,us20004gfa,2016-03-02T03:36:39.040Z,"Wyoming",mining explosion,2.7,2,0.044,66,reviewed,us,us
2015-12-08T16:59:38.660Z,44.2207,-105.4027,0,3.1,ml,,85,0.988,0.86,us,us20004gfl,2016-03-02T03:36:39.040Z,"Wyoming",mining explosion,2.6,2,0.091,16,reviewed,us,us
2015-12-07T16:37:59.980Z,43.8046,-105.2121,0,3.4,ml,,83,0.906,0.81,us,us100044r0,2016-03-02T03:36:37.040Z,"Wyoming",mining explosion,4.8,1.8,0.06,36,reviewed,us,us
2015-12-05T19:06:42.130Z,43.7889,-105.2541,0,3.2,ml,,51,0.94,0.49,us,us100044b4,2016-03-02T03:36:33.040Z,"Wyoming",mining explosion,4.4,1.6,0.055,52,reviewed,us,us
2015-12-02T21:03:10.960Z,43.7609,-105.2933,0,3,ml,,51,0.977,0.68,us,us100042tm,2016-02-25T22:33:06.040Z,"Wyoming",mining explosion,4.9,2,0.062,44,reviewed,us,us
2015-11-30T20:19:52.130Z,43.6375,-105.252,0,3.5,ml,,121,1.003,0.72,us,us1000429d,2016-02-25T22:33:02.040Z,"Wyoming",mining explosion,3.7,1.9,0.051,50,reviewed,us,us
2015-11-29T21:11:00.910Z,43.7656,-105.273,0,3.4,ml,,33,0.961,0.49,us,us1000422b,2016-02-25T22:33:01.040Z,"Wyoming",mining explosion,4.2,2,0.046,62,reviewed,us,us
2015-11-26T19:17:49.520Z,43.7013,-105.2626,0,3.4,ml,,73,0.981,0.42,us,us100041ki,2016-02-25T22:32:56.040Z,"Wyoming",mining explosion,6.8,2,0.05,52,reviewed,us,us
2015-11-24T03:22:34.240Z,38.92,-107.4583,1,3.2,ml,,42,0.456,0.82,us,us100040m7,2016-02-18T04:48:51.040Z,"12km ENE of Paonia, Colorado",rock burst,1.6,2,0.034,113,reviewed,us,us
2015-11-23T17:32:39.630Z,43.7912,-105.2726,0,3.4,ml,,69,0.952,0.42,us,us100040hp,2016-02-18T04:48:51.040Z,"Wyoming",mining explosion,3.6,2,0.052,52,reviewed,us,us
